scene_id,acquisition_date,orbit_relative,pass_direction,status,area_km2,threshold_db,otsu_eta,valley_ratio,separability,detail
S1A_IW_GRDH_1SDV_20170205T125557_20170205T125622_015149_018C76_FEFE,2017-02-05,27,ASC,ok,172.77302117611262,-22.621886442285618,0.8465061594555415,0.2408074462004815,0.9151040365686077,
S1A_IW_GRDH_1SDV_20170217T125557_20170217T125622_015324_0191F4_0C72,2017-02-17,27,ASC,ok,166.50556426294554,-22.87489633206924,0.8153013530905435,0.3393412572610126,0.8965060398903989,
S1A_IW_GRDH_1SDV_20170301T125557_20170301T125622_015499_01974D_DABC,2017-03-01,27,ASC,ok,162.5262608420412,-22.625661305028114,0.804556788017581,0.41683029830456075,0.8909854702552767,
S1A_IW_GRDH_1SDV_20170313T125557_20170313T125622_015674_019C9C_856F,2017-03-13,27,ASC,ok,167.66436220071967,-22.374988876453227,0.7931540122303704,0.526902539237635,0.8836700491161896,
S1A_IW_GRDH_1SDV_20170325T125557_20170325T125622_015849_01A1CD_4856,2017-03-25,27,ASC,ok,159.27812297721462,-22.627112445045285,0.7543500749535429,0.5716622687240895,0.8598263611224375,
S1A_IW_GRDH_1SDV_20170406T125558_20170406T125623_016024_01A700_8693,2017-04-06,27,ASC,ok,155.5747015643116,-22.12369161447756,0.7875716154467446,0.39783164980891167,0.8812196125553625,
S1A_IW_GRDH_1SDV_20170418T125559_20170418T125624_016199_01AC5F_B38D,2017-04-18,27,ASC,ok,162.02028010539425,-22.873297360911785,0.74057472359789,0.6639829595055851,0.8504368074696355,
S1A_IW_GRDH_1SDV_20170430T125559_20170430T125624_016374_01B1AF_0544,2017-04-30,27,ASC,abstain,,-22.626400116350652,0.7183961434297235,0.8461171959685844,0.8339418770935284,histogram not bimodal
S1A_IW_GRDH_1SDV_20170524T125600_20170524T125625_016724_01BC5E_A32E,2017-05-24,27,ASC,abstain,,-22.125311651850932,0.7288088935000522,1.0,0.8419876303809166,histogram not bimodal
S1A_IW_GRDH_1SDV_20170605T125601_20170605T125626_016899_01C1D2_F52C,2017-06-05,27,ASC,abstain,,-22.18840957766468,0.7339906767359318,1.0,0.8454721127304892,histogram not bimodal
S1A_IW_GRDH_1SDV_20170629T125602_20170629T125627_017249_01CC7B_900A,2017-06-29,27,ASC,ok,116.72937590531811,-21.874452755975142,0.8015124582863606,0.20428320793071822,0.9023888356746982,
S1A_IW_GRDH_1SDV_20170711T125603_20170711T125628_017424_01D1CB_8799,2017-07-11,27,ASC,ok,136.4997644324768,-22.37198100740002,0.8517543870864807,0.12400393717978866,0.9234610357788876,
S1A_IW_GRDH_1SDV_20170723T125604_20170723T125629_017599_01D715_3488,2017-07-23,27,ASC,ok,177.06635375001014,-22.122981185032547,0.8883233987121553,0.09752999450337695,0.9400933045458245,
S1A_IW_GRDH_1SDV_20170804T125605_20170804T125630_017774_01DC76_D490,2017-08-04,27,ASC,ok,213.00272340996008,-21.86941357203522,0.893821161929175,0.09229036929327247,0.9469358721919227,
S1A_IW_GRDH_1SDV_20170816T125605_20170816T125630_017949_01E1C3_D6C8,2017-08-16,27,ASC,ok,233.90443887770573,-21.878035519550494,0.8810199787670028,0.11492888894118745,0.9449796666036391,
S1A_IW_GRDH_1SDV_20170828T125606_20170828T125631_018124_01E70E_4583,2017-08-28,27,ASC,ok,237.10755128477678,-21.622247234266318,0.8822633451030887,0.11595993360915913,0.9463866967200438,
S1A_IW_GRDH_1SDV_20170909T125606_20170909T125631_018299_01EC6F_F42A,2017-09-09,27,ASC,ok,239.50140797791227,-21.876422570972363,0.874727779415559,0.1350598177599772,0.9428925170220097,
S1A_IW_GRDH_1SDV_20170921T125607_20170921T125632_018474_01F1CF_DD1F,2017-09-21,27,ASC,ok,236.63528233064662,-22.11909598430198,0.871079554045178,0.14956097648749112,0.9384380149372631,
S1A_IW_GRDH_1SDV_20171003T125607_20171003T125632_018649_01F72B_E24C,2017-10-03,27,ASC,ok,233.87496602666462,-22.1246917937674,0.8643566243317216,0.1873332761272242,0.9331062382617721,
S1A_IW_GRDH_1SDV_20171015T125607_20171015T125632_018824_01FC81_C2E2,2017-10-15,27,ASC,ok,229.2860328102678,-22.630764340823163,0.8523518245228451,0.22992488291980626,0.923795606011156,
S1A_IW_GRDH_1SDV_20171027T125607_20171027T125632_018999_0201D4_64EE,2017-10-27,27,ASC,ok,224.84764843088914,-22.87106528854404,0.8416750238669117,0.28099892322679676,0.9151170224836759,
S1A_IW_GRDH_1SDV_20171108T125607_20171108T125632_019174_020738_3A7D,2017-11-08,27,ASC,ok,221.31985937273484,-22.874980091161877,0.8338069086665977,0.3413874969783232,0.9097841317959016,
