scene_id,acquisition_date,orbit_relative,pass_direction,status,area_km2,threshold_db,otsu_eta,valley_ratio,separability,detail
S1A_IW_GRDH_1SDV_20151026T125600_20151026T125625_008324_00BBD3_57C3,2015-10-26,27,ASC,ok,67.25579297782542,-20.626085337850125,0.7791286449884738,0.319887290359915,0.886371077706502,
S1A_IW_GRDH_1SDV_20170205T125557_20170205T125622_015149_018C76_FEFE,2017-02-05,27,ASC,ok,55.34087458986203,-20.622659144878575,0.7612502484410232,0.3522251363390367,0.886475755385213,
S1A_IW_GRDH_1SDV_20170217T125557_20170217T125622_015324_0191F4_0C72,2017-02-17,27,ASC,ok,60.00817568707802,-20.869001902090798,0.7595776457391474,0.39358958725207593,0.8800617106211193,
S1A_IW_GRDH_1SDV_20170301T125557_20170301T125622_015499_01974D_DABC,2017-03-01,27,ASC,ok,60.51175832651481,-20.86948705653334,0.7517929207823019,0.3973294842890054,0.8774993760440786,
S1A_IW_GRDH_1SDV_20170313T125557_20170313T125622_015674_019C9C_856F,2017-03-13,27,ASC,ok,60.615221618207684,-20.86958914289486,0.7590622000863977,0.39752454184288094,0.8794196327815362,
S1A_IW_GRDH_1SDV_20170325T125557_20170325T125622_015849_01A1CD_4856,2017-03-25,27,ASC,ok,59.98932915194861,-21.129827751115428,0.7612525638166447,0.3890662271100487,0.8813677097570379,
S1A_IW_GRDH_1SDV_20170406T125558_20170406T125623_016024_01A700_8693,2017-04-06,27,ASC,ok,62.37193742103827,-21.11949735064229,0.7760700940508423,0.32516709278899497,0.8879734710938373,
S1A_IW_GRDH_1SDV_20170418T125559_20170418T125624_016199_01AC5F_B38D,2017-04-18,27,ASC,ok,68.8738756985971,-21.629078145700106,0.7735109289626403,0.3411478331361755,0.8825537619637681,
S1A_IW_GRDH_1SDV_20170430T125559_20170430T125624_016374_01B1AF_0544,2017-04-30,27,ASC,ok,81.73064660025445,-20.368972830042395,0.7381228512234489,0.540699704079269,0.8522553637082968,
S1A_IW_GRDH_1SDV_20170524T125600_20170524T125625_016724_01BC5E_A32E,2017-05-24,27,ASC,ok,73.2064087782028,-21.375158068349474,0.7625696921724954,0.41181556837798494,0.8721929559638698,
