scene_id,acquisition_date,orbit_relative,pass_direction,status,area_km2,threshold_db,otsu_eta,valley_ratio,separability,detail
S1A_IW_GRDH_1SDV_20151026T125535_20151026T125600_008324_00BBD3_243D,2015-10-26,27,ASC,ok,147.21151107764567,-21.370698712826474,0.8664206528766535,0.20583163384387712,0.9249322917203673,
S1A_IW_GRDH_1SDV_20170205T125532_20170205T125557_015149_018C76_4BF3,2017-02-05,27,ASC,ok,102.89111994772112,-21.87465918134292,0.8057504560990902,0.257700671307828,0.897136764479409,
S1A_IW_GRDH_1SDV_20170217T125532_20170217T125557_015324_0191F4_E453,2017-02-17,27,ASC,ok,101.48838225463057,-22.123013793265198,0.7828295531154768,0.3399917767118994,0.8838725344621305,
S1A_IW_GRDH_1SDV_20170301T125532_20170301T125557_015499_01974D_58D0,2017-03-01,27,ASC,ok,104.02894137551478,-21.876256307637977,0.7632796514894054,0.42415022735783825,0.8700180664687922,
S1A_IW_GRDH_1SDV_20170313T125532_20170313T125557_015674_019C9C_C578,2017-03-13,27,ASC,ok,100.46403173336338,-21.871791221517906,0.7644237301501455,0.3928363782315946,0.8728340485786673,
S1A_IW_GRDH_1SDV_20170325T125532_20170325T125557_015849_01A1CD_0216,2017-03-25,27,ASC,ok,104.21674344639534,-21.62548287966708,0.7480547041270481,0.48632352769264303,0.8601082795156706,
S1A_IW_GRDH_1SDV_20170406T125533_20170406T125558_016024_01A700_1867,2017-04-06,27,ASC,ok,102.62076695641012,-21.37481111443044,0.7583585236890845,0.4432240985148713,0.866876193026916,
S1A_IW_GRDH_1SDV_20170418T125534_20170418T125559_016199_01AC5F_E166,2017-04-18,27,ASC,ok,108.20564435963942,-21.874034892956498,0.7499948799949465,0.5107374990102858,0.8595025771013496,
S1A_IW_GRDH_1SDV_20170430T125534_20170430T125559_016374_01B1AF_529E,2017-04-30,27,ASC,ok,106.59327607018662,-22.125836740976546,0.7519425418675957,0.517973016947879,0.861319499895337,
S1A_IW_GRDH_1SDV_20170512T125535_20170512T125600_016549_01B6F8_2D0D,2017-05-12,27,ASC,ok,106.7263554076237,-22.1249736068306,0.7457218167347235,0.5184863530420291,0.8572592443689655,
